Book Reference No,Description_x,Material_x,Museum Reference No_x,Citation_x,ref_no_x,path_x,path_exists_x,update
68,Bowl,Ceramic,SNM 25107,"68 Bowl Ceramic Kerma. Eastern Cemetery, CE7, Tomb 76 Kerma Ancien period III H112mm,D 178mm SNM 25107 Lightly shouldered, hemispherical, red hand- made bowl, with a black rim. The rim, which ends with a tapered lip, is enhanced by an almost flat external fold, decorated with cross-hatching and underlined with a groove Printed with a potter's comb, This groove is regularly interrupted by the decoration that covers the body, which consists of short double lines of embossed dots. The bottom is decorated with imprints made with a comb, The powdery Consistency of the red slip that Covers the exterior surface indicates that it Was applied on the vessel after firing. BP Bonnet 1990a, 179, no, 131; Privati 1999, 45, 55, figs 6, 7",25107,sudan-ancient-treasures-images/25107.png,True,
69,Bowl,Ceramic,SNM 31202,"69 Bowl Ceramic Kerma, Eastern Cemetery, CE 21, Tomb 192/4, no. 17] Kerma Moyen Period IV H69mm,D 143 mm SNM 31202 Shallow hand-made bow! with Pronounced shoulder, red with a black rim, the latter being separated from the red-slipped body by a thin brown band, The vessel is polished on both surfaces, This form, which is relatively Widespread at the beginning of the Kerma Moyen, is in the Kerma Moyen Period [Vv 68 associated with vessels more characteristic of this horizon. BP Privati 1999, 47, 63, fig. 14",31202,sudan-ancient-treasures-images/31202.png,True,
70,Spouted bowl,Ceramic,SNM 25122,"70 Spouted bowl Ceramic Kerma, Eastern Cemetery, CE 8, Tomb 81 Kerma Ancien period 1V H47 mm, W 103 mm SNM 25122 Hand-made spouted bowl, buff- to red- coloured clay, decorated with two crocodiles incised on either side of the body, facing the 70 spout. The crocodile is an sip a depicted on this type of vessel. a is a probably a representation with age or re ; gious properties. At Kerma crocodiles be represented in the funerary Temple K XI, a carved on ostrich eggshells or sculpted, ak demonstrated by the quartz statue found . royal tumulus K III. This feeder sag part - the ceramic assemblage deposited in the na a burial of a child, which contained red with black rimmed bowls polished with great care and vessels with impressed decoration. BP Bonnet 1984, 14-17, figs 13-17; 1990a, 182, nos 142, 143; 2000, 84-5, 135-7; Privati 1999, 45, 56, fig. 7/3-4, 57, fig. 8/2, 6 --- Page 92 --- 71a-e. clockwise from left",25122,sudan-ancient-treasures-images/25122.png,True,
71,Bucrania,Bone,SNM 31109,"71 Bucrania Bone Kerma, Eastern Cemetery, CE 25, Tomb 253 Kerma Moyen a Bucranium of a cow, 253/618 H 250 mm, W 555mm b Bucranium from an adult bull, 253/310 H 300 mm, W 870mm c Bucranium with parallel horns, 253/46 H 380 mm, W 265 mm d Bucranium from a calf, 253/400a H 200 mm, W 295 mm e Bucranium of a young bull, 253/125 H 160mm, W 710mm SNM 31109, 31111, 31113, 31112, 31110 Five different bucrania are presented here. They come from a spectacular crescent made up of 4,351 cattle skulls south of Grave 253, dated to the Kerma Moyen period (2050-1750 nc) (see fig. 54). Cattle skulls were carved in order to preserve only the frontal part and the horns. At the end of the Kerma Ancien period, the carving preserved the nasal bones, while later the skull was cut near the nasal spine, During the Kerma Clas- sique period bucrania were reduced to the highest part of the frontal and the two horns. The skin was removed as attested by numer- ous tracks of knives or razors (Chaix 1993). Sometimes bucrania were decorated with red patches (cat. 71b) or entirely painted with red ochre, The deposition of bucrania, always in the southern part of the tumuli, began at the end of the Kerma Ancien culture with an acme during the Kerma Moyen period, declining in the Kerma Classique. The number of bucrania is linked with the social importance of the deceased and the size of the grave. The composition of an assemblage does not reflect a living herd. The proportion of the various categories (bulls, cows, calves and oxen) differs from a natural cattle herd. The disposition of the bucrania follows precise rules: in the front a row of cows, often accompanied by young calves; behind, a row of bulls, followed by a row of oxen. This arrangement may be repeated many times as shown in Grave 253 where forty rows of skulls were discovered (Chaix 1996). In the graves of important persons there are bucrania with strong deformation of the horns that have been forced to grow parallel as illustrated by the bucranium shown here (cat. 71¢; Chaix 2001). The bucranium of the calf shows a bulb at the tip of the left horn (cat. 71d). This feature can be linked with a future deformation of the horns. The bucra- nia with parallel horns form many rows intermixed with the normal ones. This man-made deformation is similar to those currently practised in the southern Sudan (Murle) and in’ the Ethiopia (Turkana), Saharan prehistoric rock art also north of presents numerous cattle with horns pointing forward, The significance of such a deforma- tion remains unknown, LC Chaix 1993, 175-85; 1996, 95-7; 2001, 364-70 SUDAN: ANCIENT TREASURES a> re 4",31109,sudan-ancient-treasures-images/31109_31110_31111_31112_31113.png,False,sudan-ancient-treasures-images/31109_31110_31111_31112_31113.png
72,Beaker,Ceramic,SNM 5282,"72 Beaker Ceramic Kerma. Tumulus K III{?) Kerma Classique H95mm, D 130mm SNM 5282 A flat-bottomed, thin-walled beaker with flaring mouth similar to cat. 246. The body is red-polished with a black-topped rim (Reisner pottery type Bkt. Type IL). A wide grey transi- tional stripe separates the two. The vessel has been reconstructed. Typical of the Kerma Classique period, this vessel type is found over a wide area in tombs and on settlement sites ranging from Kerma well into the region of the Fourth Cataract. JRA 89 --- Page 93 ---",5282,sudan-ancient-treasures-images/5282.png,True,
73,"Stela of the official, Ka","Limestone, paint",SNM 18,"73 Stela of the official, Ka Limestone, paint Buhen Kerma Classique/Egyptian, 17th Dynasty H480 mm. W 270 mm, Th } 17mm SNM 18 A round-topped stela, in good condition, missing only a section of the bottom left-hand corner. The body of the stela bears an incised hieroglyphic inscription, arranged in ten hor- izontal lines, the signs reading from right to left. The lunette is decorated, in sunk relief, With a religious motif in the form of the so- called shen-ring flanked by two udjat eyes. Both the motif and the inscription were fin- ished in green paint, substantial traces of which remain. The text reads: ‘(1) A gift that the king gives (to) Osiris, Lord of Busiris, the Great God, Lord of Abydos, (2) and (to) Horus, Lord of Foreign Land{s}, that they may give an invocation offering consisting of bread and beer, oxen and fowl, and all things (3) good and pure, on which a god lives, which heaven creates and (4) earth makes, which Hapy (the Nile Indundation) brings as his per- fect offering, for the spirit (5) of the nobleman Ka, It is the son of his daughter who makes his name to live, (6) namely the nobleman Tah-user. He (Ka) says: I was a valiant servant (7) of the ruler of Kush. I washed my feet (8) in the waters of Kush in the following of the (9) ruler Nedjeh. [ returned (10) safe and sound (and) my family (too).’ During the Middle Kingdom, the Egyptians invaded and occupied Lower Nubia (the land of Wawat), establishing a new southern border upstream of the Second Cataract. Buhen was one of a chain of great fortresses which they built along the Nile in Wawat to consolidate and extend their economic interests and to police the native population. The major aims were to control the rich goldmines of Nubia’s Eastern Desert and the trade in African goods with lands further to the south. Towards the end of the 13th Dynasty (1795-1650 BC), Egypt underwent a great political upheaval and, among other consequences, was obliged to withdraw from Nubia. In the north a Canaanite dynasty, known as the Hyksos, took control of the Nile Delta and Lower Egypt. In the south Wawat and the fortresses, among them Buhen, were occupied by the forces of the powerful kingdom of Kush, based at Kerma just south of the Third Cataract. It appears that not all Egyptian personnel chose to flee. Some remained to serve the new masters. This stela is one of a group of monuments from Buhen belonging to a single family who administered the fortress over several genera- tions during the period of Kushite rule. A high official named Ka was the owner of the stela, which was dedicated to him by his grandson, also a high official, named Iah-user. We know from other sources that Ka was preceded in office by his father and grandfather, both named Sobekemheb. His younger brother, named Sepedhor, served as ‘commandant of Buhen’ and was instrumental in rebuilding the Temple of Horus at Buhen where their stelae were set up. Both proudly state that they served the ruler of Kush whose name is given on the stela of Ka as Nedjeh. There is insuffi- cient data to decide on the precise dates of Ka and Sepedhor, and of the Kushite king in ques- tion, but the latter is perhaps to be identified as the owner of one or other of the two latest tumuli in the royal cemetery at Kerma, desig- nated as K.IV and K.III respectively, which are roughly contemporary with the mid- to late 17th Dynasty (1650-1550 be) in Egypt. WVD Franke 1983, 47, 236; 1984, 411, Doss. 706; Holm-Rasmussen 1995, 55 ff.; Kubisch 2002, 37-9: Redford 1997, 5, no, 15; Siive-Séderbergh 1949, 50-54; Porter and Moss 1951, 138: Schneider 1998, 164; Smith 1976, 41; Vandersleyen 1971, 56-60; 1995, 203",18,sudan-ancient-treasures-images/18.png,True,
74,Stela with figure of a king,"Sandstone, paint",SNM 62,"74 Stela with figure of a king Sandstone, paint Buhen Kerma Classique/Egyptian, 17th Dynasty H 260 mm, W195 mm, Th 54mm SNM 62/8/17 A round-topped stela, quite roughly shaped, now with worn and chipped edges, especially at the bottom corners, but otherwise in good condition. It is decorated in sunk relief, with @ --- Page 104 --- somewhat schematic figure of a king shown as if striding to the right. He wears the white crown of Upper Egypt with a uraeus at the forehead and a short skirt with a protruding front, probably a version of the royal shendyt- kilt. In his rear hand he holds a mace, and in his front hand a long, double-curved bow and three arrows. The body of the figure was painted red, his kilt and crown white. There are good grounds, both stylistic and archaeological, for identifying the figure as one of the kings of Kush, shown as having ‘adopted in part at least the regalia of Pharaoh, specifically as king of Upper Egypt’ (Smith 1976, 12). This was no empty aspira- tion on the part of the Kushites. During the Kerma Classique period they not only ruled the whole of Nubia but also carried out at least one substantial invasion of Upper Egypt (cat. 75). It has been suggested that the king repre- sented here may be the Nedjeh mentioned on the Buhen stela of Ka (cat. 73). wvD Berenguer 2003c; Morkot 2000, 68, fig. 32; Smith 1976, 11-12, no. 691, 84, 246, pls iii, 2, lviii, 4; Soulé-Nan 2002, 161-2, fig. 31; Wildung 1997, 100, no. 100; Williams 199 1b, 80, 83, fig. 8a",62,,False,
75,Stone vessel,Travertine,SNM 1087,"75 Stone vessel Travertine Kerma, Tumulus K.III, Grave K.334 Kerma Classique/17th Dynasty H 135.5 mm, max. W 82.5 mm SNM 1087 Finely polished, bag-shaped flask with a ribbed neck associated, when found, with a lid made of serpentine, now lost. It has been very skilfully worked, with a vein in the stone exploited to great effect to form a decorative central band, separating the flasks upper and lower parts which are of different hues. Inside the flask there are substantial remains of its original contents, initial analysis! identifying it as a now-degraded oil of plant origin. The flask bears, incised on the exterior body, a rectangular frame enclosing a funer- ary inscription arranged in three columns of hieroglyphs, reading from right to left and down, identifying its contents and original owner: A gift which [the king] gives, that he may give incense and unguent to the spirit of the Governor, Hereditary Prince, of Nekhen (Hierakonpolis), Sobeknakht.’ This flask is one of a substantial number of SUDAN: ANCIENT TREASURES Egyptian objects buried in the royal tumuli at Kerma, in this case in an elite subsidiary grave within the precincts of Tumulus K.II, the last of the great tumuli in the Eastern Cemetery. The original source of the flask would have been the Egyptian owner’s tomb presumably located at Hierakonpolis (though not impossi- bly perhaps at ElKab), from which it was proba- bly plundered during a Kushite raid on the region. There are several other objects origi- nally from Hierakonpolis among the Kerma material. That such raids took place is con- firmed by an inscription recently discovered (Davies 2003a, d and e) in the tomb of another Sobeknakht, a governor of ElKab, the twin- town of Hierakonpolis, during the 17th Dynasty, who may well have been related to his namesake across the river. It records the occur- rence of a major Kushite attack on Upper Egypt during his governorship, one of the main aims of which was to secure booty (the aggressors are referred to in the inscription as ‘looters’), much of it evidently destined for reuse and deposition at Kerma. WVD",1087,sudan-ancient-treasures-images/1087.png,True,
76,Statue of Amenhotep I,"Sandstone, paint",SNM 63,"76 Statue of Amenhotep I Sandstone, paint Sai Island New Kingdom, 18th Dynasty H 1.66 m. W 563 mm, Th1m SNM 63/4/5 Statue of a king, near life-size, seated on a throne with rectangular pedestal. He is identi- fied by inscription as Amenhotep I (c. 1525—",63,,False,
77,Statuette of Amenemhat,Buhen,SNM 92,"77 Statuette of Amenemhat Serpentine (?) New Kingdom, 18th Dynasty (co-regency of Hatshepsut/Thutmose III) Buhen H 220mm, W 124mm,.Th 650mm SNM 92 Figure of a man, identified by inscription as the ‘Scribe Amenemhat’, in the pose of squat- ting, his knees drawn up before him, on a pedestal with straight sides and a rounded front and back. The piece is finely sculpted and in very good condition. Amenemhat is represented as wearing a long, broad, shoulder-length wig, a short beard and a tight-fitting cloak that envelops his body, except for the arms shown emerging just in front of the knees, the right crossed over the left, with the right hand clenched, the left extended palm-downwards. His face is broad and triangular in shape and his expres- sion benign. The eyes, asymmetrically posi- tioned, are large, wide-open and slope markedly inwards, the eyebrows and cos- metic lines rendered as raised bands. The nose is relatively narrow and pointed at the end. The mouth, with two thick lips, is small with just the hint of a smile. The ears, set high, are large and splay slightly against the wings of the headdress. The treatment over- all, and particularly of the eyes, is evocative of that of royal portraiture of the period. Incised between the knees and legs, on the front of the figure, is a hieroglyphic inscription arranged in four columns, reading from right to left and top to bottom: ‘Gift that the king gives (to) Horus, Lord of Buhen, that he may give invocation offerings consisting of bread, beer, oxen, fowl, alabaster, linen, incense, unguents, all things good and pure, offerings of every vegetable, that upon which a god lives, every- thing which comes forth upon his offering table regularly every day, for the spirit of the scribe Amenemhat, repeating life, possessor of veneration’. Further, single columns of inscrip- tion are located towards the rear of the figure, on the right and left sides respectively and on the rear itself. The side inscriptions repeat the owner's title and name and also identify his parents. The column on the figure’s right side reads (from right to left and down) ‘Scribe Amenemhat, begotten of the chief of Teh-khet Rwiw [mis-spelt as Rwsw]’, that on the left (from left to right and down) ‘Scribe Amen- emhat, born to the mistress of the house, Rwna’. The column on the rear reads ‘Revered [before] Osiris, Scribe Amen- emhat, justified’. In form and style, <is is a typical ‘block- statue’ of the early {2th Dynasty, a dating confirmed by the identity of the owner and his parents, who are known from other monu- ments of the period (cf. cat. 78). It was found buried as one of a cache of three statuettes, one of the others also belonging to the same Amenemhat (now Philadelphia E 10980). Originally placed in one of the temples of Horus at Buhen, they were probably removed and buried during the 18th Dynasty before the Amarna Period, as on both figures of Amen- emhat, the name element Amen’ has been left untouched, suggesting that the pieces were inaccessible to Akhenaton’s agents. WvD Edel 1963, 28 ff.; Pérez Die 2003b; Porter and Moss 1951, 138; Randall-Maclver and Woolley 1911, 108, 110, pl. 37 (left); Stive-Sdderbergh 1960, 25 ff., pl. 14; Sive-Séderbergh and Troy 1991, 193, fig. 48 (B1), pl. 60, 1; Schulz 1992, 337-8 (no. 192), pl. 85, b; Scott in Thomas 1996, 181; Smith 1976, 202, 208-9; Vandier 1958, 451-2, 669",92,sudan-ancient-treasures-images/92.png,True,
