Book Reference No,Description,Material,Museum Reference No,Citation
87,GOLD BALANCE,"Wood, copper; H. 12 cm, W. 16.5 cm,","Khartoum, National Museum 2642","87 GOLD BALANCE

Wood, copper; H. 12 cm, W. 16.5 cm,

Diam. of dishes 5.9 cm

From Semna, Room gq, under the Taharqo Temple
Harvard University—MFA Boston Expedition,
January 1928, field no. 28-1-96—98

Middle Kingdom

Khartoum, National Museum 2642

This little balance is made up of a stand
in the form of a palm column, a beam
terminating in papyrus umbels, and
two copper dishes. It was probably
used for weighing gold from the mines
of the eastern desert, which was des-
tined for Egypt via the fortresses on the
Second Cataract.

Lit: Vercoutter, Kush 7 (1959): 133f., pl. XXXIla; D. Dunham
and J. Janssen, Second Cataract Forts 1, Semna, Kumma
(Boston, 1960), 48, pl. 130C
"
88,GOLD WEIGHTS,"Serpentine, calcite (“Egyptian alabaster""); H. 3.94.65","Khartoum, National Museum 2481","88 GOLD WEIGHTS

Serpentine, calcite (“Egyptian alabaster""); H. 3.94.65
cm, W. 2.73.5 cm, Th. 2.4 cm; Weight: 61 g,

86.5 g, 92 g

From Uronarti, Room F 5 (according to Vercoutter,
purchased from local inhabitants)

Harvard University—MFA Boston Expedition,

May 1924, field no. 24-5-5/7/2

Middle Kingdom

Khartoum, National Museum 2481

The brief inscriptions list the numbers
5, 6, and 7 next to the hieroglyphic
sign for “gold.” But the exact weight
of the stones cannot be aligned with
these numbers. Both the scale and the
weights indicate that only small quan-
tities of gold were being weighed,
before they were sent over the south-
ern border to (Middle Kingdom) Egypt.

Lit.: Vercoutter, Kush 7 (1959): 134, pl. XXXIIb; Dunham and
Janssen, Second Cataract Forts |, 17, 35f. (nos. 21, 23, 18),
pl. 358

--- Page 92 ---
EGY? IN SUDAN
"
92,STELA,"Sandstone; H. 45.8 cm, W. 33 cm,","Khartoum, National Museum 142","92 STELA

Sandstone; H. 45.8 cm, W. 33 cm,
Th. 9.4 cm

Found by local inhabi
Middle Kingdom—Second Inter
Khartoum, National Museum 142

tants in the desert east of Aga
mediate Period

A male figure with hands boul)
behind his back kneels In the _
portion of this sunk-relief stela. Li
short, tightly curled hairstyle i. i ;
him as a Nubian. Behind him re :
man striding to the right. He ho 4
bow in his left hand and three a
raised up to his et mn fea ol
weapons designate N"" © :
ofa military unit. This motif of a ee
with a bound, kneeling Nubian : +
frequently on seal impression

from the region
occasionally on stelae of
of the Middle Kingdo™ fortress a
n these repr

t. |
the Second Catarac anti
sentations the soldier often wearing

he prisoner

in his hail, holds t
se ie oe scene apparent
depicts Nubian bode! troops in
service of pharaoh. charg

ffic.
trolling the border tan"" . 2
The two lines of inscription in th

upper portion 4 ” with
Lord of the Foreig"" ad Tee of
‘ “Great ip
fe ta palitical significareaia
; ith a reu-
the scene is thus €” ae cakaet serv:
gious overtone. a a seis so does
j rotects ;
lands protect ae entioned in con-
We have already a stela of King
junction with the ie papyrus docu-
Senusret Il (cat- 81 eaceful border
ments that sped t aracter-
traffic, This stela 45 ast sles bor-
istics of a warning is “readable” by
der activity; its Im? vieWers alike.
literate and illiterate

--- Page 94 ---
EGYPT IN SUDAN
"
95,VESSEL WITH COVER,"Fired and painted day, H. 10.6 cm, with cover 14.4","Khartoum, National Museum 1119","95 VESSEL WITH COVER

Fired and painted day, H. 10.6 cm, with cover 14.4
am, Diam. 13.7 cm, with cover 14.4 cm

From Kerma, Tum. K Ill, Tomb K 315

Harvard University—HFA Boston Expedition,
December 1913, field no. 13-12-898

Classic Kerma, 1650-1570 s.c.

Khartoum, National Museum 1119

Round buildings were characteristic of
the architecture of the capital city of
Kerma. In addition to the two deffufas,
the “skyline” was dominated by a
large, hemispherical structure that
probably served as a royal palace (cf.
fig. 19). It was surrounded by smaller
oval huts. This ensemble resembles
quite closely the archetypal image of
the central African settlement and, in
contrast to Egyptian architecture,
introduces completely new perspec-
tives.

This vessel with cover, painted black,
red, and yellow over a white back-
ground, could represent a model of
one of these round shelters. The cover
particularly supports this interpreta-
tion, since it imitates the thatched roof
construction used in such buildings.
The vessel is usually considered to be
an imitation of a woven basket, but
there are no parallels or other archaeo-
logical materials to support this inter-
pretation.

Lit: GA. Reisner, Kerma Ill, 153, no. 6, pl. 9.2; IVY, 47f.
(I), 473, fig. 340.1; Wenig, catalogue AiA II, 40, 160f., no. 68;
W. S. Smith and W. K. Simpson, The Art and Architecture of
Ancient Egypt (Harmondsworth, 1981), 213, fig. 210; cf.
Bonnet, catalogue, Kerma: Royaume de Nubje (Geneva,

1990), 211, no, 255
"
96,FIGURE VESSEL,"Fired clay; H. 20.8 cm,","Khartoum, National Museum 1123","96 FIGURE VESSEL

Fired clay; H. 20.8 cm,

Diam. 18.8 cm

From Kerma, Tum. K Ill, Tomb K 308
Harvard University—HFA Boston Expedition,
December 1913, field no. 13-12-63!
Classic Kerma, 1650-1570 8.¢.

Khartoum, National Museum 1123

Like the Nubian/Sudanese Neolithic
and the A-Group Culture, the Kerma
Culture defined itself above all by its
ceramics. The technical standard of
manufacturing hard-fired, thin-walled
pottery is equaled by the formal deco-
ration of the vessels. Figural pottery
makes up a separate category, consist-
ing mostly of pitchers, their spouts
decorated with animal heads. This red-
polished, spherical pitcher, with a han-
dle in imitation of rope, has a spout
with the head of a horned animal. This
is probably a goat, to judge from the
form and remains of the broken horns.
A double band is incised around the
neck. On the back is a six-pointed
rosette, perhaps to be understood as
the rear quarters of the animal. The
modeled figure of a striding male has
been added in bold relief to the right
side. He wears a kilt (and a phallus
sheath?), and holds a long staff out in
front of him. He is a shepherd and
leads an animal behind him (difficult to
see because of the lacunae in the
restored vessel). Under the left part of
the rim sits the relief figure of a six-
legged crocodile. An “outline” of the
environment of the Nile Valley is repre-
sented by these figures.

Lit: G.A. Reisner, Kerma I-IIl, 148; VV, 406f. (104),
fig. 285, pl. 71.1; Wenig, catalogue AiA Il, 40, fig. 16

96

THE FIRST KINGDON
"
97,FIGURE VESSEL,"Fired clay; H. 9.6 cm, Diam. 10 cm","Khartoum, National Museum 1135","97 FIGURE VESSEL

Fired clay; H. 9.6 cm, Diam. 10 cm

From Kerma, Tum. K XIV, east of Chapel A, perhaps
belonging to K XV

Harvard University-MFA Boston Expedition,

January 1914, field no. 14-1-722

Classic Kerma, 1650-1570 8.¢.

Khartoum, National Museum 1135

A monkey figure with raised front leg
crouches on the cylindrical spout ©
this pitcher. On each side of the vessel's"")
body, a crocodile in high relief crawls
toward the spout.

Lit: G.A. Reisner, Kerma |-IIl, 481 (13); WV, 406f. (103),
fig. 285, pl. 71.1

9S a

96/97

--- Page 104 ---
marae

PPR us 2 4 bth

\

(a anng wad i t ' 2

--- Page 105 ---
THE FIRST KINGDOMS

98

--- Page 106 ---
99

--- Page 107 ---
100

4498/99
"
98,FIGURE VESSEL,,"Khartoum, National Museum 1134","98 FIGURE VESSEL

Fired day, H. 15.5 cm, L 19 om, W. 12.5 cm
From Kerma, Tum. K XIV, east of Chapel A, perhaps
belonging to K XV

Harvard University-HFA Boston Expedition

Classic Kerma, 1650-1570 e.c.

Khartoum, National Museum 1134

Set on three legs, this spherical vessel is
meant to represent the body of a bird,
This is clear from the addition of a few
modeled elements: wingtips on both
sides and the tail on the back. The
long, diagonally outstretched neck
defines the bird as an ostrich, although
the head is not indicated.

Lit: GA. Reisner, Kerma I-III, 481 (12), pl. 30.2; IY
374, fig. 253, pl. 71.1; Wenig, catalogue AiA II, 156, no, 63
"
99,FIGURE VESSEL,"Fired clay; H. 18 cm, L 21 cm, W. 18 cm","Khartoum, National Museum 1122","99 FIGURE VESSEL

Fired clay; H. 18 cm, L 21 cm, W. 18 cm

From Kerma, Tum. K XIV, in the debris of Chapel A
Harvard University—HFA Boston Expedition,
January 1914, field no. 14-1-653

Classic Kerma, 1650-1570 B.¢.

Khartoum, National Museum 1122

This pitcher with a flat base has an
undecorated globular body. The spout
is in the forrn of an animal's head with
a wide-open mouth, probably meant
to represent a hippopotamus.

Lit: G.A. Reisner, Kerma I-III, 479; W-¥, 4051.

(100), fig. 284, pl. 71.1; Eggebrecht, in Cl. Vandersleyen, ed.,
“Das alte Agypten,” Propylien Kunstgeschichte 15

(Berlin, 1975): 398f., no. 400c

100

THE

FIRST KINGDONS
"
100,STELA,"Sandstone: H. 26 cm, W. 19.5 cm, Th. 5.4 cm","Khartoum, National Museum 62/8/17","100 STELA

Sandstone: H. 26 cm, W. 19.5 cm, Th. 5.4 cm
From Buhen, street debris west of Block C, House G

Excavations of the Egypt Exploration Society
1959-1960, field no. H7-14

Second Intermediate Period
Khartoum, National Museum 62/8/17

Although leaning on Egyptian models
for its formal composition, this repre-
sentation of a man striding to the right
was certainly not created by an
Egyptian artist, as is evident from the
proportions. The figure holds a bow
and arrows in his left hand and a mace
in his right. A crown with a uraeus ser-
pent imitates the White Crown of
h crown and mace
are emblems of royalty. Since the stela
derives from an area of Buhen that was
primarily inhabited by Kerma peoples
during the second Intermediate
Period, we can assume that the stela

portrays the king of Kerma.

Upper Egypt. Bot

en I: The Inscriptions

Lit: H. Smith, The Fortress of Buh
246, pl. Hl,2, LULA

(London, 1976), 11f, no. 691, 84

101 = Wate INLAY

—____

Faience; H, $5 cm, W. 120 <m
From Kerma, eastern cemetery, K I

(Eastern Deffufa) ae
Harvard University-HFA Boston Expedition,

December 1913, field n2- 13-12-1029

Classic Kerma, 1650-1570 ®
Boston, Museum of Fine Arts 20.1224

--- Page 108 ---
Tes KINGDOM OF

KERMA

Two large lion figures can be recon-
structed from fragments of blue-
glazed faience tiles that were probably
set into the facade of the Eastern
Deffufa flanking the entrance.
Additional fragments indicate the
presence of other figures, including
bound prisoners and a hippopotamus.
The backs of the tiles show the
impressions of linen or basketry that
was used in their manufacture.
Fragments of cavetto cornices, torus
moldings, and plant motifs most likely
formed the decorative pattern along
the margins.

Lit: PM Vil 176; G.A. Reisner, Kerma Ill, 129; VV,
152, fig. 181; catalogue Kerma: Royaume de Nubie
(Geneva, 1990), 209, no. 251
"
102,RELIEF PLAQUE OF A SCORPION,"Faience; L. 6.5 cm, W. 5.4 cm, Th. 1.7 cm","Khartoum, National Museum 1036","102 RELIEF PLAQUE OF A SCORPION

Faience; L. 6.5 cm, W. 5.4 cm, Th. 1.7 cm
From Kerma, Tum. K X, Corridor B
Harvard University-MFA Boston Expedition,
March 1914, field no. 14-3-292

Classic Kerma, 1650-1570 .c.

Khartoum, National Museum 1036

Molded in high relief, this scorpion fig-
ure was found with the tail pointed
toward the head of the corpse of a rit-
ually sacrificed individual who was part
of a group of retainers buried with
their chieftain. It was probably a gar-
ment appliqué.

Lit: GA. Reisner, Xerma L-Ill, 289 (134), pl. 21.2; WV,
131, pl. 44.2 (no, 19)

101

--- Page 109 ---"
